id,pali_1,sutta_1
10739,asuci 4,sukkavissaṭṭhi sikkhāpada
10734,asubhataddasa,vipallāsasuttaṃ
10352,asekkha 1,tikamātikā
10368,asesita,maṇikuṇḍala jātaka
10609,assapuṭa 1,āpattibhayasuttaṃ
10610,assapuṭa 2,āpattibhayasuttaṃ
10682,assayuja 1,buddha-vassa-sajjhāyanā
10654,assasitvā,paṭhamamaraṇassatisuttaṃ
70961,assasissati,ānāpānassatisuttaṃ
12126,avaṅkata,dhamma-pahaṃsāna
11901,avacara 2,suttantabhājanīyaṃ
11911,avacchidda,sīhanādasuttaṃ
12322,avatthāsi,"tatiyapārājikaṃ, vinītavatthu"
73785,avatthukata,dhātuvibhaṅgasuttaṃ
12587,avikkhitta,devā-ārādhanā
12454,avigata,abhayasuttaṃ
12439,avicikicchā,tayodhammasuttaṃ
12505,avijjādhātu,samanupassanāsuttaṃ
12438,avīci 2,cakkavattisuttaṃ
12730,avītikkama,duṭṭhaṭṭhakasuttaniddeso
12373,avekkhassu,mogharāja māṇava pucchā<br/>pārāyana vaggo 15
3119,ahirīka,pārāpariya-thera-gāthā
3149,ahorattamatandita,bhaddekarattasuttaṃ
2542,āgā,māgaṇḍiyasuttaṃ<br/>aṭṭhakavaggo 9
1352,ācāragocara,andhakavindasuttaṃ
3333,ājīvikāpakata,piṇḍolyasuttaṃ
10828,ātāpeti 2,devadahasuttaṃ
8156,āpajjita,cundasuttaṃ
8649,āpattibahula,bhaddālisuttaṃ
8650,āpattibhaya,āpattibhayasuttaṃ
4537,āmakadhañña,kandarakasuttaṃ
4544,āmakamatta,mahāsuññatasuttaṃ
4696,āmavasesa,yāgusuttaṃ
13015,āyuda,bhojanasuttaṃ
9512,āraññikaṅga,kosiyavaggo
9277,ārabhituṃ,dhamma-pahaṃsāna
9440,ārambhati 1.1,aruṇavatīsuttaṃ
9457,ārammaṇa 5,tikamātikā
9297,ārādhanā 3,kīṭāgirisuttaṃ
9407,ārāma 2,sabbāsavasuttaṃ
4361,ālayasamugghāta,sukkavissaṭṭhi sikkhāpada
4390,ālimpesi,tatiyapārājikaṃ
4465,āloketi,kassapagottasuttaṃ
10068,āsanapaññāpana,dhammayuttika-pubbakicca
9814,āsabhī,nālandasuttaṃ
9822,āsādana 1,dutiyapavāraṇā sikkhāpada
9909,āsāḷhā,buddha-vassa-sajjhāyanā
10371,āsevana,paṭṭhāna-mātikā-pāṭho
12008,āvajjana 2,bāhiyasuttaṃ vaṇṇanā
12701,āvisati 1,pārāpariyattheragāthā
12422,āvi ceva raho ca,cha sāraṇīya-dhammā
2996,āhāranettippabhava,ajātasuttaṃ
24506,iccāyasmā,puṇṇaka māṇava pucchā<br/>pārāyanavaggo 3
24551,icchita 1,sāmāvatīvatthu
24977,iti attho,bāhiyasuttaṃ vaṇṇanā
25092,itthikā,paṭhamapārājika
25087,itthidhana,paṭhamapārājika
25104,itthindriya,abhidhammabhājanīyaṃ
24562,idaṃ tasmiṃ,ūnavīsativassa sikkhāpada
61037,uccāresi 1,"tatiyapārājikaṃ, vinītavatthu"
61820,ujupaṭipanna,buddha-dhamma-saṅgha-guṇā
61759,ujjavi,dutiyabhāṇavāro
61790,ujjhitvā,kosiyavaggo
64114,utuparissayavinodana,sabbāsavasuttaṃ
70893,uttara 11,pāyāsisuttaṃ
64080,uttiṇa,ghaṭikārasuttaṃ
61213,udakarāsi,paṭhamasamuddasuttaṃ
61566,udumbarakhādika,dīghajāṇusuttaṃ
61357,uddassetabba,raṭṭhapālasuttaṃ
61407,uddhaggika,pattakammasuttaṃ
61412,uddhaṃ adho tiriyaṃ,karaṇīya mettasuttaṃ
62198,undūra,chabbassasikkhāpada
62588,upakappati,tirokuṭṭasuttaṃ
63228,upaṭṭhapenta,guhaṭṭhakasuttaniddeso
62455,upadhiviveka,mahāmālukyasuttaṃ
62756,upanandhi,mahānāmasikkhāpada
62793,upanibandhitvā,seṭṭhiputtavatthu
62851,upanissaya,Nidānakathā
