id,pali_1,source_2
18694,dhamma 1.14,MN 51
18690,dhamma 2.1,SN 20.6
19203,dhāta 2,DN 31.11
19212,dhātu 2,SN 22.4
19214,dhātu 4,AN 1.11-20
19099,dhānī,DN 2.4
19161,dhāraṇa 2,MN 107
19173,dhārayati 1,DHP 222
19152,dhārā 1.1,TH 257
70991,dhāressati,AN 6.61
18645,dhā 1,SN 35.246
19404,dhuta 1,NIDD 1.3
70994,dhūta 1,VIN 1.2.10
34782,naccagīta,MN 51
35636,nappakāsati,SNP 56
35640,nappamajjati 2,DHP 259
35233,namas,Thai
36127,nayidaṃ,AN 4.25
36020,navama,VIN PAT PC
36077,navuti,UD 78
35154,naḷavana,DN 26.9
34881,nāga 4,Thai
35908,nātivattati 1,MN 137
34818,nāda,SN 47.12
35391,nānatta 1,MN 54.2
35292,nānābāhā,SN 12.63
35289,nānā 2,SN 1.32
34741,nābhi 2,AN 4.67
35728,nāsā 1,MN 62
37197,nikkhanta 1,VIN 4.1.49
37198,nikkhanta 2,AN 8.74
37185,nikkhāmetvā,AN 4.244
36913,niggayha 2,MN 122
37061,nijjhāyati 1,AN 6.46
38050,nittharati,SN 12.63
36415,nibbānasacchikiriyā,MN 10.2
36561,nibbindituṃ,SN 12.61
36582,nibbuti 2,SNP 13
37361,nimitta 1,MN 107
38345,niyyāti 2,MN 48
37688,nirāsa,AN 4.41
37793,nirutti 3,DHP 352
37740,nirodhagāmī,AN 6.63
37750,nirodhasaññā,AN 7.27
37763,nirodhika,MN 19
37812,nisajjā 2,VIN PAT AN 1
37854,nisevati 1,TH 257
37899,nissaggiyapācittiya,VIN PAT NP
37967,nissāya 5,SN 12.63
38116,nivāretar,AN 7.67
38213,niveseti,AN 2.33
36353,ni 1,KHP 9
36352,nī,SNP 13
37268,nīla 1,VIN PAT PC 58
37267,nīḷa,ITI 43
36194,nepakka,AN 7.67
36176,nema,AN 7.67
36217,neso,SN 22.59
36276,nevasaññānāsaññāyatanasamāpatti,AN 9.36
36324,nhāpana,AN 7.50
40625,pakatatta 1,PAT PK
40615,pakata 1,Trad
40606,pakāsesi 2,MN 27
40756,pakkhipati 2,VIN PAT SK 42
40767,pakkhiya 1,Thai
40315,paggaṇhāti 3,DN 22.18
39704,paccatthika 1,SN 35.238
39727,paccayā,AN 10.61
39617,paccaladdhā,AN 4.49
39893,paccupaṭṭhāna 1,NIDD1 1
39911,paccupaṭṭhita 6,MN 48
39768,paccekaṃ,VIN PAT NID
39781,pacchā 2,MN 107
39834,pacchima 5,Thai
40510,pajāpatī 2,AN 8.53
40481,pajā 3,DHP 254
41365,pañcanīvaraṇa,MN 39
41447,pañcindriyāni 2,SN 22.47
41825,paññāvimutta,MN 70
41523,pañha 2,MN 43
44885,paṭikaroti 1,MN 140
44886,paṭikaroti 2,AN 4.244
44909,paṭikkamati 2,AN 4.67
44658,paṭicchādanattha,MN 2.4
45097,paṭiñña 1,SN 35.241
44570,paṭibaddha 2,DHP 218
44571,paṭibaddha 3,AN 10.48
44995,paṭiladdha,MN 137
45345,paṭisaṅkhā 1,MN 107
45280,paṭisambhidā 1,DHPa 1.1.1
45421,paṭissata,SN 35.95
45430,paṭissuṇāti,AN 6.45
45581,paṭivinaya,VIN 1.2.1
45548,paṭivedha,AN 9.36
44258,paṭhamaṃ 2,VIN PAT PK
44490,paṭhavī,VIN PAT PC 10
41563,paṇidhāya 2,AN 7.50
41572,paṇihita 1,DN 22.6
41490,paṇḍu 1,DHP 235
41758,paṇṇarasī,PAT PK
41676,paṇṇākāra,Thai
44980,patikuṭati,AN 7.49
45473,patiṭṭhāpeti 4,AN 2.33
44558,pati 2.1,MN 27
44562,pati 3.3,MN 2
45789,patti 1.2,Thai
45770,patthayāna,UD 78
45781,patthita 1,DHPa 1.2.1
45837,patvā 2,Trad
44528,pathavīsama,DHP 095
44115,patha 2,TH 257
40105,padasandhi,SNPa 1.4
40029,padahitvā 1,Sri Lanka
39997,pada 12,AN 3.83
40207,padīpujjalana,PAT PK
41566,panidhekacca,AN 8.63
41748,pannarasa 2,MN 118
41902,papā 1,SN 1.47
39378,pabbajitomhi,TH 251
39397,pabbatakandarā,SN 12.23
39348,pabbājana,DN 5.4
39438,pabhaṅgura 1,ITI 43
39433,pabhā,AN 4.49
41011,pamādi,SN 40.1
46150,payāta 1,TH 257
42174,parakkama,SN 12.22
42179,parakkamati 2,SN 2.8
42294,parañca,AN 4.45
42303,paranimmitavasavattī 1,SN 56.11
42254,paramattha 1,Sri Lanka
42070,parā,TH 257
42085,parābhava,SNP 6
42239,parāmāsī,MN 8
42403,parāyaṇa 3,AN 5.57
42831,parikappa 1,TH 257
42705,pariggahita 1,SNPa
42587,paricca,AN 5.23
42588,pariccāga 1,Sri Lanka
43092,pariññeyya 2,MN 1
43025,pariṇāyaka 2,AN 7.23
43371,paritāpeti 1,MN 101
42655,paridevita 1,UD 78
43049,parinibbāpeti 1,AN 4.61
43180,paripuṇṇa 2,SNa 35.228
42537,paribhuñjitabba,VIN 4.6.178
42521,paribhojanīya,PAT PK
43544,pariy,AN 6.11
43606,pariyāya 2,AN 6.63
43608,pariyāya 4,TH 257
43628,pariyesanā,SN 22.95
43666,pariyogāḷha,SN 42.11
43348,parisuddhi,PAT PK
43319,parissaya 2,MN 2.4
43455,parivāsa 1,VIN PAT SA
42728,parihānadhamma,SN 35.96
42783,parihāyi 1,MN 65
42420,paresaṃ 2,VIN PAT SK 38
42417,pare 3,DHP 006
40814,palāpa 1,DN 22.18
40830,palāsa 2.1,NIDD1 2
43853,pasanna 4,AN 5.32
43766,pasādanīya,SN 47.10
43883,pasārita 1,MN 152
43921,pasibbaka,VIN 1.1.1
43977,passati 3,AN 4.67
43934,passa 1.1,AN 7.61
43965,passāsa,MN 118
43988,passeyya 1,MN 22
46002,pavayha,MN 122
46011,pavedesi,Thai
46037,pavesetar,AN 7.67
