headword	dpd_pos	meanings
abhayupassaya	masc	Npr. of a nunnery in Ceylon
abhayuttara	masc	of a monastery; of a pariveṇa
abhayābhiseka	masc	title of Mhv IX
abhayācala	masc	Abhaya-giri
abhibhatta	nt	the state of Abhibhū
abhibyāpeti		
abhida		
	pr	1. to let undertake a nearer investigation
abhidhammaanuṭīkā	fem	a sub-commentary on the mūlaṭīkā on Abhidhamma written by Dhammapāla with the title Līnatthavaṇṇanā
abhidhammaatthasālinīatthayojanā	fem	title of a work on Abhidhamma (no doubt = Atthasālinī-atthayojanā)
abhidhammagantha	masc	the (7) books of Abhidhamma
abhidhammagata	adj	occurring in or belonging to Abhidhamma
abhidhammagaṇṭhi	masc	name of a ganthi-pada on Abhidhamma
abhidhammagūḷhatthadīpanī	fem	title of a work on Abhidhamma
abhidhammamahaṇṇavapāra	nt	the further shore of the great sea of Abhidhamma
abhidhammamahodadhi	masc	the sea of Abhidhamma
abhidhammamahāpura		
abhidhammamātikā	fem	register of the subjects of A° in Dhammasaṅgaṇi
abhidhammamūlaṭīkā	fem	sub-commentary written by Ānanda on the aṭṭhakathā on Abhidhammapiṭaka
abhidhammaniddesa	masc	detailed exposition from the Abhidhamma
