source	abbreviation	meaning	category	notes
cpd	Mogg(-v) (= Mg(-v))	Moggallāna-vyākaraṇa; (and; -vutti),; C; e; (1),; section; (I-VI); and; sūtras; numbered as in; Mogg-pd; Mogg VII1—229 = Moggallāna-ṇvādi, C; e; ;; below; 96*.	text	a. Texts.; ref=5.3,1
cpd	Mogg-p	Moggallāna-pañcikā,; C; e; : section and; sūtra,; as above, or page; (1—380); and line.	text	a. Texts.; ref=5.3,11
cpd	Mogg-pd	Maudgalyāyanapañcikāpradīpaya,; C; e; : page; (1—167); and line.	text	a. Texts.; ref=5.3,11(2)
cpd	Mogg-v	see; Mogg (Mogg-sn, 5.3,1(3): Virita-sanyaya).	text	a. Texts.; ref=5.3,1
cpd	Moh	Mohavicchedanī.	text	a. Texts.; ref=3.8.7
cpd	Mp	Manorathapūraṇī,; C; e; ad; AN V;; E; e; (ad; AN I—IV):; vol.; (I—IV),; page and line.	text	a. Texts.; ref=2.4,1
cpd	Mp-ṭ	Sāratthamañjūsā,; B; e; .	text	a. Texts.; ref=2.4,12
cpd	Mvu	Mahāvastu(avadāna),; N; e; : vol.; (I—III),; page and line.	text	a. Texts.; ref=7.1.4
cpd	Mūla(~s)	Mūlasikkhā,; E; e; : section; (I—VI); and verse.	text	a. Texts.; ref=1.3.2
cpd	Mūlas-sn	Mulusika-sannaya,; C; e; .	text	a. Texts.; ref=1.3.2,(4)
cpd	Nett	Nettipakaraṇa,; E; e; : page; (1—193); and line.	text	a. Texts.; ref=2.7.2
