timestamp,file,line,control,handler,event,ms
2026-09-17T18:28:40.110,gui2/dpd_fields_compound_construction.py,105,DpdTextField,DpdCompoundConstructionField.compound_construction_focus,focus,38.3
2026-09-17T18:28:40.648,gui2/dpd_fields.py,1067,DpdTextField,DpdFields.non_ia_blur,blur,0.4
2026-09-17T18:28:40.683,gui2/dpd_fields.py,973,DpdTextField,DpdFields.sanskrit_focus,focus,0.3
2026-09-17T18:28:40.913,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.4
2026-09-17T18:28:40.950,gui2/dpd_fields.py,954,DpdTextField,DpdFields.sanskrit_blur,blur,0.4
2026-09-17T18:28:41.682,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.5
2026-09-17T18:28:42.195,gui2/dpd_fields.py,1073,DpdTextField,DpdFields.source_1_focus,focus,0.5
2026-09-17T18:28:42.347,gui2/dpd_fields_examples.py,574,DpdTextField,DpdExampleField.update_counter,focus,36.1
2026-09-17T18:28:42.858,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:43.525,gui2/dpd_fields_examples.py,574,DpdTextField,DpdExampleField.update_counter,focus,0.7
2026-09-17T18:28:43.609,gui2/dpd_fields_examples.py,314,TextField,DpdExampleField._handle_last_control_blur,blur,0.4
2026-09-17T18:28:43.699,gui2/dpd_fields.py,1296,DpdTextField,DpdFields.clean_pali_field,blur,0.4
2026-09-17T18:28:43.791,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:43.828,gui2/dpd_fields.py,1311,DpdTextField,DpdFields.synonym_focus,focus,0.3
2026-09-17T18:28:44.295,gui2/dpd_fields.py,1296,DpdTextField,DpdFields.clean_pali_field,blur,0.7
2026-09-17T18:28:44.431,gui2/dpd_fields.py,1371,DpdTextField,DpdFields.var_phonetic_focus,focus,112.5
2026-09-17T18:28:44.930,gui2/dpd_fields.py,1439,DpdTextField,DpdFields.var_phonetic_blur,blur,40.2
2026-09-17T18:28:44.965,gui2/dpd_fields.py,1311,DpdTextField,DpdFields.synonym_focus,focus,0.4
2026-09-17T18:28:45.470,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:45.579,gui2/dpd_fields.py,1320,DpdTextField,DpdFields.synonym_submit,submit,108.6
2026-09-17T18:28:45.616,gui2/dpd_fields.py,1296,DpdTextField,DpdFields.clean_pali_field,blur,0.4
2026-09-17T18:28:46.260,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.8
2026-09-17T18:28:49.940,gui2/dpd_fields.py,1311,DpdTextField,DpdFields.synonym_focus,focus,0.7
2026-09-17T18:28:50.146,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:50.183,gui2/dpd_fields.py,1296,DpdTextField,DpdFields.clean_pali_field,blur,0.4
2026-09-17T18:28:50.676,gui2/dpd_fields.py,1371,DpdTextField,DpdFields.var_phonetic_focus,focus,0.8
2026-09-17T18:28:50.714,gui2/dpd_fields.py,1439,DpdTextField,DpdFields.var_phonetic_blur,blur,37.5
2026-09-17T18:28:51.315,gui2/dpd_fields.py,1296,DpdTextField,DpdFields.clean_pali_field,blur,0.9
2026-09-17T18:28:51.395,gui2/dpd_fields_commentary.py,141,IconButton,DpdCommentaryField._toggle_tools_visibility,click,34.6
2026-09-17T18:28:51.457,gui2/dpd_fields_commentary.py,179,TextField,DpdCommentaryField._search_field_1_focus,focus,0.4
2026-09-17T18:28:52.206,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,0.6
2026-09-17T18:28:52.514,gui2/dpd_fields_commentary.py,192,TextField,DpdCommentaryField.click_commentary_search,submit,307.7
2026-09-17T18:28:55.845,gui2/dpd_fields_commentary.py,314,TextButton,DpdCommentaryField.click_choose_example_cancel,click,35.6
2026-09-17T18:28:55.885,gui2/dpd_fields.py,1087,DpdTextField,DpdFields.commentary_focus,focus,0.4
2026-09-17T18:28:56.053,.venv/lib/python3.13/site-packages/flet/controls/base_page.py,463,AlertDialog,BasePage._wrap_dialog_on_dismiss.<locals>.wrapped_on_dismiss,dismiss,0.9
2026-09-17T18:28:56.768,gui2/dpd_fields_commentary.py,344,DpdTextField,DpdCommentaryField._handle_field_blur,blur,2.5
2026-09-17T18:28:56.803,gui2/dpd_fields_commentary.py,179,TextField,DpdCommentaryField._search_field_1_focus,focus,0.3
2026-09-17T18:28:57.422,gui2/main.py,219,Page,App.on_keyboard,keyboard_event,1.1
