chA	chB	ch1	ch2	eg	for
ū	t	u	it	nighaṇḍūti	iti
ū	t	ū	it	pāragūti	iti
ū	v	ū	ev	bhikkhūva	eva
u	y	u		asu'y'eva	eva
v	ā	eva	a	iminā'v'ārahāmevāhaṃ	eva
v	ā	o	ā	gvākappaṃ	general
v	a	o	a	khvayye	general
v	ā	o	a	yvāssu	general
v	ā	u	ā	bahvābādho	general
v	a	u	a	nvayaṃ	general
v	ā	u	a	sv'ānussutaṃyeva	general
v	ā	va	a	evāhaṃ	general
v	ā	va	ā	mamevārabbha	general
v	a	va	a	nevattabyābādhāya	general
v	ā	vā	ā	puḷav'āvasathe	general
v	ā	vā	a	vāssa	general
v	ā	vā	i	sitvā'va	general
v	ā	va	i	yevāti	iti
v	ā	vaṃ	a	ev'āhaṃ	general
v	ā	ve	ā	duv'āyusā	general
v	ā	vi	a	dv'āhaṃ	general
v	ā	vī	ā	pathav'āpaggisamāno	general
v	e	o	e	khvettha	general
v	e	u	e	tveva	general
v	e	va	e	evettha	general
v	e	vā	e	v'eko	general
v	e	va	i	tavedaṃ	general
v	e	ve	i	dvemā	general
v	i	o	i	khvidha	general
v	i	va	i	evime	general
v	ī	vī	a	medhāvī'si	general
v	i	vi	i	dvindriyo	general
v	i	viṃ	a	asevi'haṃ	general
v	o	va	o	dhaṅkamiv'ossajantīti	general
v	o	va	u	āsīvisamivoragaṃ	general
v	o	vo	a	parisuddhājīvo'hamasmi	general
v	ū	vā	u	dev'ūpapatyassa	general
v	u	va	u	nevussādanā	general
v	ū	va	u	tamevūpekkhaṃ	general
y	a	e	a	ty'atthu	general
y	ā	e	a	tyāhaṃ	general
y	ā	e	ā	tyāvuso	general
y	ā	i	ā	hessaty'ājāniyo	general
y	a	i	a	satyassa	general
y	ā	iṃ	ā	kyādīsupi	general
y	ā	iṃ	a	kyāhaṃ	general
y	a	ya	a	gomayaggi	general
y	ā	ya	ā	huveyy'āvuso	general
y	ā	ya	a	sudhammāy'ābhito	general
y	ā	yā	a	yāhaṃ	general
y	ā	yā	i	sampaliveṭheyyā'ti	general
y	ā	ya	i	sampaliveṭheyyā'ti	iti
y	a	yaṃ	a	āhareyy'assāhaṃ	general
y	ā	yaṃ	a	yāhaṃ	general
y	a	yo	a	bhiyy'assuppajjate	general
y	e		e	y'eva	eva
y	e	ya	e	ariyāy'etaṃ	general
y	e	yā	e	mahiy'ekarattivāso	general
y	e	ye	a	tayepi	api
y	e	ye	i	ye'me	general
y	i		i	y'ito	general
y	i	ya	i	kāy'indriyo	general
y	i	yi	a	ajāy'ihaṃ	general
y	ī	yī	a	maggakkhāyī'haṃ	general
y	o	ya	o	mahāmāluky'ovāde	general
y	o	ya	u	dassanāy'opasaṅkama	general
y	o	yo	a	yo'yaṃ	general
y	o	yo	i	tayo'me	general
y	ū	aṃ	u	kukkucciy'ūpachinde	general
y	u	ya	u	ācariy'upajjhāyānaṃ	general
y	ū	yā	u	chāy'ūdaka	general
r	a		a	dhi'r'atthumaṃ	general
h	u	hu	i	dhiratthu'maṃ	general
p	i	pa	i	catuddīp'issaro	general
p	o	pa	o	dīp'obhāsopi	general
m	o	ma	o	jalitabyām'obhāsaṃ	general
