bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_paṇṇāsa	bjt_vagga	bjt_sutta
an-1-9-12	an-1-9-12	an-1	22	30	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 12.
an-1-9-13	an-1-9-13	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 13.
an-1-9-14	an-1-9-14	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 14.
an-1-9-15	an-1-9-15	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 15.
an-1-9-16	an-1-9-16	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		pamādavaggo	1. 9. 16.
an-1-10-1	an-1-10-1	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 1.
an-1-10-2	an-1-10-2	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 2.
an-1-10-3	an-1-10-3	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 3.
an-1-10-4	an-1-10-4	an-1	22	32	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 4.
an-1-10-5	an-1-10-5	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 5.
an-1-10-6	an-1-10-6	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 6.
an-1-10-7	an-1-10-7	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 7.
an-1-10-8	an-1-10-8	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 8.
an-1-10-9	an-1-10-9	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 9.
an-1-10-10	an-1-10-10	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 10.
an-1-10-11	an-1-10-11	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 11.
an-1-10-12	an-1-10-12	an-1	22	34	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 12.
an-1-10-13	an-1-10-13	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 13.
an-1-10-14	an-1-10-14	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 14.
an-1-10-15	an-1-10-15	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 15.
an-1-10-16	an-1-10-16	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 16.
an-1-10-17	an-1-10-17	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 17.
an-1-10-18	an-1-10-18	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 18.
an-1-10-19	an-1-10-19	an-1	22	36	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 19.
an-1-10-20	an-1-10-20	an-1	22	38	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 20.
an-1-10-21-30	an-1-10-21-30	an-1	22	38	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 21-30.
an-1-10-31	an-1-10-31	an-1	22	38	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 31.
an-1-10-32	an-1-10-32	an-1	22	38	0	suttantapiṭake	aṅguttaranikāyo	ekaka nipāto		ajjhattikavaggo	1. 10. 32.
