bjt_sutta_code	 bjt_web_code	 bjt_filename	 bjt_book_id	 bjt_page_num	 bjt_page_offset	 bjt_piṭaka    	 bjt_nikāya    	 bjt_major_section	 bjt_book            	 bjt_minor_section	 bjt_vagga           	 bjt_sutta
mn 2. 3. 1.   	 mn-2-3-1    	 mn-2-3      	          14	          252	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 1. tevijjavacchagotta suttaṃ
mn 2. 3. 2.   	 mn-2-3-2    	 mn-2-3      	          14	          256	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 2. aggivacchagotta suttaṃ
mn 2. 3. 3.   	 mn-2-3-3    	 mn-2-3      	          14	          266	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 3. mahāvacchagotta suttaṃ
mn 2. 3. 4.   	 mn-2-3-4    	 mn-2-3      	          14	          280	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 4. dīghanakha suttaṃ
mn 2. 3. 5.   	 mn-2-3-5    	 mn-2-3      	          14	          288	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 5. māgandiya suttaṃ
mn 2. 3. 6.   	 mn-2-3-6    	 mn-2-3      	          14	          308	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 6. sandaka suttaṃ
mn 2. 3. 7.   	 mn-2-3-7    	 mn-2-3      	          14	          332	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 7. mahāsakuludāyi suttaṃ
mn 2. 3. 8.   	 mn-2-3-8    	 mn-2-3      	          14	          366	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 8. samaṇamaṇḍikā suttaṃ
mn 2. 3. 9.   	 mn-2-3-9    	 mn-2-3      	          14	          376	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 9. cūḷasakuludāyi suttaṃ
mn 2. 3. 10.  	 mn-2-3-10   	 mn-2-3      	          14	          394	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 3. paribbājakavaggo 	 10. vekhanassa suttaṃ
mn 2. 4. 1.   	 mn-2-4-1    	 mn-2-4      	          14	          404	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 1. ghaṭīkārasuttaṃ
mn 2. 4. 2.   	 mn-2-4-2    	 mn-2-4      	          14	          420	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 2. raṭṭhapālasuttaṃ
mn 2. 4. 3.   	 mn-2-4-3    	 mn-2-4      	          14	          452	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 3. makhādevasuttaṃ
mn 2. 4. 4.   	 mn-2-4-4    	 mn-2-4      	          14	          466	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 4. madhurasuttaṃ
mn 2. 4. 5.   	 mn-2-4-5    	 mn-2-4      	          14	          480	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 5. bodhirājakumārasuttaṃ
mn 2. 4. 6.   	 mn-2-4-6    	 mn-2-4      	          14	          516	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 6. aṅgulimālasuttaṃ
mn 2. 4. 7.   	 mn-2-4-7    	 mn-2-4      	          14	          530	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 7. piyajātikasuttaṃ
mn 2. 4. 8.   	 mn-2-4-8    	 mn-2-4      	          14	          540	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 8. bāhitikasuttaṃ
mn 2. 4. 9.   	 mn-2-4-9    	 mn-2-4      	          14	          550	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 9. dhammacetiyasuttaṃ
mn 2. 4. 10.  	 mn-2-4-10   	 mn-2-4      	          14	          562	               0	 suttantapiṭake	 majjhimanikāyo	                  	 2. majjhimapaṇṇāsako	                  	 4. rāja vaggo       	 10. kaṇṇakatthalasuttaṃ
