bjt_sutta_code	bjt_web_code	bjt_filename	bjt_book_id	bjt_page_num	bjt_page_offset	bjt_piṭaka	bjt_nikāya	bjt_book	bjt_minor_section	bjt_vagga	bjt_sutta
kn-ap-1-28-8	kn-ap-1-28-8	kn-ap-1-19	39	418	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	āluvadāyakattherāpadānaṃ
kn-ap-1-28-9	kn-ap-1-28-9	kn-ap-1-19	39	418	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	ekapuṇḍarīkattherāpadānaṃ
kn-ap-1-28-10	kn-ap-1-28-10	kn-ap-1-19	39	418	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		28. suvaṇṇabimbohanavaggo	taraṇiyattherāpadānaṃ
kn-ap-1-29-1	kn-ap-1-29-1	kn-ap-1-19	39	420	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	paṇṇadāyakattherāpadānaṃ
kn-ap-1-29-2	kn-ap-1-29-2	kn-ap-1-19	39	420	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	phaladāyakattherāpadānaṃ
kn-ap-1-29-3	kn-ap-1-29-3	kn-ap-1-19	39	422	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	paccuggamaniyattherāpadānaṃ
kn-ap-1-29-4	kn-ap-1-29-4	kn-ap-1-19	39	422	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	ekapupphiyattherāpadānaṃ
kn-ap-1-29-5	kn-ap-1-29-5	kn-ap-1-19	39	424	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	maghavapupphiyattherāpadānaṃ
kn-ap-1-29-6	kn-ap-1-29-6	kn-ap-1-19	39	424	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	upaṭṭhākadāyakattherāpadānaṃ
kn-ap-1-29-7	kn-ap-1-29-7	kn-ap-1-19	39	426	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	apadāniyattherāpadānaṃ
kn-ap-1-29-8	kn-ap-1-29-8	kn-ap-1-19	39	426	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	sattāhapabbajitattherāpadānaṃ
kn-ap-1-29-9	kn-ap-1-29-9	kn-ap-1-19	39	426	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	buddhupaṭṭhākattherāpadānaṃ
kn-ap-1-29-10	kn-ap-1-29-10	kn-ap-1-19	39	428	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		29. paṇṇādāyakavaggo	pubbaṅgamiyattherāpadānaṃ
kn-ap-1-30-1	kn-ap-1-30-1	kn-ap-1-19	39	430	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	citakapūjakattherāpadānaṃ
kn-ap-1-30-2	kn-ap-1-30-2	kn-ap-1-19	39	430	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	pupphadhārakattherāpadānaṃ
kn-ap-1-30-3	kn-ap-1-30-3	kn-ap-1-19	39	432	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	chattadāyakattherāpadānaṃ
kn-ap-1-30-4	kn-ap-1-30-4	kn-ap-1-19	39	432	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	saddasaññakattherāpadānaṃ
kn-ap-1-30-5	kn-ap-1-30-5	kn-ap-1-19	39	434	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	gosīsanikkhepakattherāpadānaṃ
kn-ap-1-30-6	kn-ap-1-30-6	kn-ap-1-19	39	434	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	pādapūjakattherāpadānaṃ
kn-ap-1-30-7	kn-ap-1-30-7	kn-ap-1-19	39	436	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	desakittakattherāpadānaṃ
kn-ap-1-30-8	kn-ap-1-30-8	kn-ap-1-19	39	436	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	saraṇagamaniyatherāpadānaṃ
kn-ap-1-30-9	kn-ap-1-30-9	kn-ap-1-19	39	436	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	ambapiṇḍiyattherāpadānaṃ
kn-ap-1-30-10	kn-ap-1-30-10	kn-ap-1-19	39	438	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		30. citakapūjakavaggo	anusaṃsāvakattherāpadānaṃ
kn-ap-1-31-1	kn-ap-1-31-1	kn-ap-1-19	39	440	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	padumakesariyattherāpadānaṃ
kn-ap-1-31-2	kn-ap-1-31-2	kn-ap-1-19	39	440	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	sabbagandhiyattherāpadānaṃ
kn-ap-1-31-3	kn-ap-1-31-3	kn-ap-1-19	39	440	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	paramannadāyakattherāpadānaṃ
kn-ap-1-31-4	kn-ap-1-31-4	kn-ap-1-19	39	442	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	dhammasaññakattherāpadānaṃ
kn-ap-1-31-5	kn-ap-1-31-5	kn-ap-1-19	39	442	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	phaladāyakattherāpadānaṃ
kn-ap-1-31-6	kn-ap-1-31-6	kn-ap-1-19	39	444	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	sampasādakattherāpadānaṃ
kn-ap-1-31-7	kn-ap-1-31-7	kn-ap-1-19	39	446	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	ārāmadākattherāpadānaṃ
kn-ap-1-31-8	kn-ap-1-31-8	kn-ap-1-19	39	446	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	anulepadāyakattherāpadānaṃ
kn-ap-1-31-9	kn-ap-1-31-9	kn-ap-1-19	39	448	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	buddhasaññakattherāpadānaṃ
kn-ap-1-31-10	kn-ap-1-31-10	kn-ap-1-19	39	448	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		31. padumakesariyavaggo	pababhāradāyakattherāpadānaṃ
kn-ap-1-32-1	kn-ap-1-32-1	kn-ap-1-19	39	450	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	ārakkhadāyakattherāpadānaṃ
kn-ap-1-32-2	kn-ap-1-32-2	kn-ap-1-19	39	450	0	suttantapiṭake	khuddakanikāyo	theraapadāna pāḷi		32. ārakkhadāyakavaggo	bhojanadāyakattherāpadānaṃ
