root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√idh	3	ya	succeed, accomplish	√ṛdh	2, 4, 5, 6, 7	thrive	saṃ √idh	samṛdh	saṃsiddhi, samṛddha, samṛddhi, samṛdhyate, samṛdhnoti, samṛdh
√indh	2	ṃa	fire, burn	√indh √idh	1, 7	kindle	√indh		iṣṭakā, iṣṭikā, iṣṭakā
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	√is		icchat, na + icchamāna, icchamāna, iṣṭa, icchā, aiṣīt, icchati, iṣ, aniṣṭa, icchā, aniccha, na + icchat, icchaka, na + icchati, icchet, iṣṭa, anicchā, anicchaka
√is	1	*a	wish for	√iṣ	1, 4, 6, 9	seek, desire	adhi √is		adhyeṣate, adhyeṣi, adhyeṣaṇa
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	ā √is		āśis, anāśa, āśā, nirāśā, nirāśa
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	pati √is		pratīṣya, pratīṣ, pratīcchati
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	pati ā √is		pratyāśā, pratyāśā, prāptyāśā
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	vi √is		
√is	1	a	wish for	√iṣ	1, 4, 6, 9	seek, desire	saṃ pati √is		sampratīṣ, saṃpratīcchat, saṃpratīcchati, saṃpratyeṣita (bsk), saṃpratīcchana (bsk)
√iss	1	a	be envious, jealous	√īrṣy	1	be jealous	√iss		īrṣyā, na + īrṣyaka +, īrṣyati, īrṣy, īrṣyaka +, īrṣuka +
√īr 1	1	a	move, shake	√īr	1, 2	set in motion	√īr	īr	īrayati, īryā, īrāṇa, īrte, īrayamāṇa, na + īrayati, īrate, īrita, svairin, īrat
√īr 1	1	a	move, shake	√īr	1, 2	set in motion	saṃ √īr	samīr	samīrita, samīraṇa, samīrte
√īr 2	8	*e	speak	√īr	1, 2	set in motion	√īr	īr	īrayati
√īr 2	8	*aya	speak	√īr	1, 2	set in motion	abhi ud √īr	abhyudīr	abhyudīrayati, + udīrayati
√īr 2	8	*e	speak	√īr	1, 2	set in motion	ud √īr	udīr	udīryate, udīrayat, udīrita, udīrayati
√īr 2	8	*e	speak	√īr	1, 2	set in motion	saṃ √īr	samīr	
√īr 2	8	*e	speak	√īr	1, 2	set in motion	saṃ ud √īr	samudīr	
√īs	3	ya	have power	√īś	1, 2	be master	√īs		īśvara, iśāna (name of rudra), īśvarī, īśvarīya, aiśvarya, īśvarāḥ (< īśvara), īśa, anīśvara
√īs	3	ya	have power	√īś	1, 2	be master	abhi √īs		na + adhīśvara
√īh	1	a	strive	√īh	1	be eager	√īh		nirīhā, īhā
√ukkh	1	a	sprinkle, pour	√ukṣ	1	sprinkle	ava √ukkh	avokṣ	ukṣita
√uc	3	ya	comfort	√uc	4	be pleased	√uc		na + oka, oka, okas
√uj	1	a	be straight	√ubj √ṛñj	6	force	√uj		ṛjutva, su + ṛju, ārjava (< ṛju), ṛju, ud + ṛju, anṛju, ṛjutā
√uj	1	a	be straight	√ubj √ṛñj	6	force	ā √uj		ārjava (< ṛju)
√uj	1	a	be straight	√ubj √ṛñj	6	force	ud √uj		ud + ṛju
√uj	1	a	be straight	√ubj √ṛñj	6	force	saṃ √uj		saṃ + ṛju
√ujjh	1	a	leave, discard	√ujh √ujjh	6	forsake	√ujjh		ujjh, ujjhitvā, ujjh, ujjhitum, ujjhita
√uñch	1	a	glean	√uñch	1, 6	glean	√uñch		uñcha
√uñch	1	a	glean	√uñch	1, 6	glean	saṃ √uñch		saṃ + uñcha +
√ud	2	ṃa	be wet	√und √ud	6, 7	wet	√ud		nirudaka, uda, anudaka, odana, udaka, undura, unduru, audaka, udra, unduru (rat), unduruka (mouse), odanīya, daka
√ud	2	ṃa	be wet	√und √ud	6, 7	wet	ati √ud		ati + udaka
√ud	2	ṃa	be wet	√und √ud	6, 7	wet	saṃ √ud		samudra +, sāmudrika, samundita, samudra
√udrabh	1	a	eat	-	-	-	√udrabh		
√us	6	ṇhā	be hot	√uṣ	1, 9	burn	√us		uṣṇa, uṣmaka, uṣma, uṣṇatva, uṣṇatā
√us	6	ṇhā	be hot	√uṣ	1, 9	burn	ati √us		na + ati + uṣṇa, atyuṣṇa (ati + uṣṇa), atyuṣṇa
√usūy	1	a	be irritated, jealous	√īrṣy	1	be jealous	√usūy		asūyana, asūyā, īrṣyati, na + īrṣy, īrṣyamāṇa, asūyat, īrṣyamāṇa, asūyā
√ej	1	a	move, shake	√ej	1	stir	√ej		ejat, anejat, ejati, na + ejati
√edh	1	a	flourish, prosper	√edh	1	thrive	√edh		edhate, edh, edhita, edhas
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	√es		eṣaṇā, na + eṣaṇā, eṣamāṇa, eṣiṇī, eṣin, eṣaṇa, eṣaṇī, iṣitvā, eṣati, eṣat
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	anu √es		anveṣaṇa, anveṣaka, anveṣin, anveṣat
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	anu pari √es		
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	pati √es		pratīcchat
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	pari √es		pareṣamāṇa, paryeṣaṇā, paryeṣita, paryeṣṭi, paryeṣṭavya, paryeṣitum, pariyeṣat, paryeṣate, paryeṣaṇa, na + paryeṣṭa, paryeṣṭa, pariyiṣṭvā
√es	1	a	seek, search	√iṣ	1, 4, 6, 9	seek, desire	saṃ anu √es		samanviṣyati, samanveṣati, samanveṣṭa, samanveṣitavya, samanveṣaṇa, samanviṣ, samanveṣat, samanveṣamāṇa, su + samanveṣṭa
√op	8	*aya	placing	-	-	-	√op		ava + śri
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	√kaṅkh	kāṅkṣ	akāṅkṣā (na + kāṅkṣā), kāṅkṣati, kāṅkshā
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	anu √kaṅkh	anukāṅkṣ	
√kaṅkh 1	1	a	wish for	√kāṅkṣ	1	desire	abhi √kaṅkh	abhikāṅkṣ	abhikāṅkṣita, abhikāṅkṣamāṇa, abhikāṅkṣin, abhikāṅkṣā, abhikāṅkṣati
