root_key	root_group	root_sign	root_meaning	sanskrit_root	sanskrit_root_class	sanskrit_root_meaning	pali_root_family	sanskrit_root_family	sanskrit_dump
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	vi √bhaj	vibhaj	avibhakta, avibhajya, vibhakta, vibhakti, vibhaktika, vibhajat, vibhajati, vibhajana, vibhajitum, vibhajya, vibhajyate, vibhajyamāna, vibhāga, vibhāgavat, vibhājana, suvibhakta
√bhaj 1	1	a	divide, distribute	√bhaj	1	divide, share	saṃ vi √bhaj	saṃvibhaj	sambhaj, saṃvibhakta, saṃvibhajati, saṃvibhajanīya, saṃvibhajayati, saṃvibhāga, saṃvibhāgin
√bhaj 2	1	a	associate, keep company	√bhaj	1	divide, share	√bhaj	bhaj	abhākṣīt, na + bhajat, na + bhajitavya, bhajanīya, na + bhājana, bhakta, bhakti, bhaktika, bhaktvā, bhajat, bhajati, bhajana, bhajamāna, bhajitavya, bhajanīya, bhajet, bhajeta, bhājana
√bhaj 2	1	a	associate, keep company	√bhaj	1	divide, share	saṃ √bhaj	sambhaj	sambhakta, sambhaktin
√bhajj	1	a	cook	√bhṛjj bhrajj	6	roast	√bhajj		bhṛjjati, bhṛjjamāna, bhṛjjayitvā, bhṛjjyate, bhṛṣṭa, bhṛṣṭvā
√bhañj	1	a	break, destroy	√bhañj	7	break	√bhañj	bhañj	abhāṅkṣīt, bhagna, bhaṅktavya, bhaṅktum, bhaṅktvā, bhaktvā, bhaṅga, bhañjana, bhañjana +, bhanakti
√bhañj	1	a	break, destroy	√bhañj	7	break	ava √bhañj	avabhañj	avabhagna
√bhañj	1	a	break, destroy	√bhañj	7	break	ā √bhañj		
√bhañj	1	a	break, destroy	√bhañj	7	break	pa √bhañj	prabhañj	na + prabhaṅgura, prabhaṅgura, prabhaṅgura +, prabhañjita
√bhañj	1	a	break, destroy	√bhañj	7	break	pari √bhañj		
√bhañj	1	a	break, destroy	√bhañj	7	break	vi √bhañj	vibhañj	vibhaṅga
√bhañj	1	a	break, destroy	√bhañj	7	break	vi ā √bhañj		vyābhagna
√bhañj	1	a	break, destroy	√bhañj	7	break	saṃ √bhañj	sambhañj	sambhagna, sambhanakti, saṃ + bhañjana
√bhañj	1	a	break, destroy	√bhañj	7	break	saṃ pari √bhañj		sam + pari + bhagna, sam + pari + bhanakti
√bhaṇ	1	a	talk, speak	√bhaṇ	1	speak	√bhaṇ	bhaṇ	abhāṇīt, bhaṇat, bhaṇati, bhaṇana, bhaṇanīya, bhaṇamāna, bhaṇayati, bhaṇayitum, bhaṇayitvā, bhaṇāma, bhaṇita, bhaṇitum, bhaṇe, bhaṇyate, bhaṇyamāna, bhāṇa, bhāṇaka, bhāṇikā, bhāṇin (bsk), bhāṇin (bsk) +, bhāṇya
√bhaṇ	1	a	talk, speak	√bhaṇ	1	speak	anu √bhaṇ		
√bhaṇ	1	a	talk, speak	√bhaṇ	1	speak	pati √bhaṇ	pratibhaṇ	na + pratibhāna, pratibhāna, pratibhāna +, pratibhānavat
√bhaṇḍ	1	a	blame, accuse	√bhaṇḍ	1	reprove	√bhaṇḍ	bhaṇḍ	na + bhaṇḍat, bhaṇḍat, bhaṇḍate, bhaṇḍana, bhaṇḍayat, bhaṇḍayate, bhaṇḍitum, bhaṇḍitvā
√bhaṇḍ	1	a	blame, accuse	√bhaṇḍ	1	reprove	pati √bhaṇḍ	bhaṇḍ	prati + bhaṇḍate
√bhad	1	a	be good, be lucky	√bhand	1	be bright	√bhad	bhand	a + bhadra, na + bhadraka, bhadanta, bhaddālin, bhadra, bhadraka, bhadravat, bhadravatī, bhadravatī +, bhadrā, bhadrika, bhallika, su + bhadraka, subhadra, subhadrā
√bham	1	a	turn, revolve, buzz	√bhram	1, 4	wander	√bham	bhram	na + bhrānta, bhramat, bhramati, bhramara, bhramaraka, bhramasva, bhrami, bhramita, bhramitavya, bhrāntvā, bhrāmayati
√bham	1	a	turn, revolve, buzz	√bhram	1, 4	wander	pari √bham	paribhram	paribhramati
√bham	1	a	turn, revolve, buzz	√bhram	1, 4	wander	vi √bham	vibhram	vibhramati, vibhramya, vibhrānta, vibhrānta +, vibhrāmaṇa, sambhramati
√bham	1	a	turn, revolve, buzz	√bhram	1, 4	wander	saṃ √bham	sambhram	vibhramati, sambhrama
√bhar	1	a	carry, support	√bhṛ	1	bear	√bhar	bhṛ	abhārika + tā, durbhara, durbhara +, bhara, bharaṇa, bharati, bharita, bharitavya, bhartuḥ, bhartre, bhartṛ, bhāra, bhāratara, bhārika, bhārya, bhāryā, bhṛta, bhṛtaka, bhṛti, bhṛtya, sa + bhāryā, su + bhāryā, subhara, subharatva (subhara + -tā), subhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	ati √bhar		atibhāra, atibhrita, atibhṛ, atibhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	ava √bhar	avabhṛ	avabhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	ā √bhar	ābhṛ	ābharaṇa, ābhṛta, na + ābhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	ud √bhar	udbhṛ	uddhāra, sa + uddhāra
√bhar	1	a	carry, support	√bhṛ	1	bear	nī √bhar	nirbhṛ	nirbhṛta, su + nirbhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	pa √bhar	prabhṛ	prabhṛti
√bhar	1	a	carry, support	√bhṛ	1	bear	pa ā √bhar		prabhṛta
√bhar	1	a	carry, support	√bhṛ	1	bear	pari √bhar	paribhṛ	paribharta, paribhṛ +
