book	book_code	dpd_code	dpd_sutta	dpd_sutta_var	id	lemma_1	family_set	meaning_1	meaning_lit	meaning_2	notes
Aṅguttara Nikāya	AN	AN9.73-82	sammappadhānavagga		60770	sammappadhānavagga	vaggas of Aṅguttara Nikāya 9	Vagga 8 of Navakanipāta (AN9.73-82)		Chapter 8 of Navakanipāta, Aṅguttara Nikāya 9.73-82	
Aṅguttara Nikāya	AN	AN5.272-285	sammutipeyyāla		60907	sammutipeyyāla	vaggas of Aṅguttara Nikāya 5	Vagga 27 of Pañcakanipāta (AN5.272-285)		Chapter 27 of Pañcakanipāta, Aṅguttara Nikāya 5.272-285	
Aṅguttara Nikāya	AN	AN10.134-144	sādhuvagga 1		62244	sādhuvagga 1	vaggas of Aṅguttara Nikāya 10	Vagga 14 of Dasakanipāta (AN10.134-144)		Chapter 14 of Dasakanipāta, Aṅguttara Nikāya 10.134-144	
Aṅguttara Nikāya	AN	AN10.178-188	sādhuvagga 2		62245	sādhuvagga 2	vaggas of Aṅguttara Nikāya 10	Vagga 18 of Dasakanipāta (AN10.178-188)		Chapter 18 of Dasakanipāta, Aṅguttara Nikāya 10.178-188	
Aṅguttara Nikāya	AN	AN6.117-139	sāmaññavagga 1		62319	sāmaññavagga 1	vaggas of Aṅguttara Nikāya 6	Vagga 12 of Chakkanipāta (AN6.117-139)		Chapter 12 of Chakkanipāta, Aṅguttara Nikāya 6.117-139	
Aṅguttara Nikāya	AN	AN8.91-116	sāmaññavagga 2		62320	sāmaññavagga 2	vaggas of Aṅguttara Nikāya 8	Vagga 10 of Aṭṭhakanipāta (AN8.91-116)		Chapter 10 of Aṭṭhakanipāta, Aṅguttara Nikāya 8.91-116	
Aṅguttara Nikāya	AN	AN9.42-51	sāmaññavagga 3		62321	sāmaññavagga 3	vaggas of Aṅguttara Nikāya 9	Vagga 5 of Navakanipāta (AN9.42-51)		Chapter 5 of Navakanipāta, Aṅguttara Nikāya 9.42-51	
Aṅguttara Nikāya	AN	AN10.221-236	sāmaññavagga 4		62322	sāmaññavagga 4	vaggas of Aṅguttara Nikāya 10	Vagga 22 of Dasakanipāta (AN10.221-236)		Chapter 22 of Dasakanipāta, Aṅguttara Nikāya 10.221-236	
Aṅguttara Nikāya	AN	AN11.22-501	sāmaññavagga 5		62323	sāmaññavagga 5	vaggas of Aṅguttara Nikāya 11	Vagga 3 of Ekādasakanipāta (AN11.22-501)		Chapter 3 of Ekādasakanipāta, Aṅguttara Nikāya 11.22-501	
Aṅguttara Nikāya	AN	AN6.11-20	sāraṇīyavagga		62460	sāraṇīyavagga	vaggas of Aṅguttara Nikāya 6	Vagga 2 of Chakkanipāta (AN6.11-20)		Chapter 2 of Chakkanipāta, Aṅguttara Nikāya 6.11-20	
