word	pos	position	type	exceptions	notes
gata	adj	last	dutiyā tappurisa	aghagata, aṭṭhānagata, anāpāthagata, antogata 1, antogata 2, apattagata, abahigata, amahaggata, ākāsagata 3, evaṅgata, evaṃgata, ñātimajjhagata, tejogata, nāvāsagata, parahatthagata 1, pūgamajjhagata, bahigata 1, bahigata 2, majjhagata, rahogata, rūpagata 1, lepagata, vāyogata, viññāṇagata, vedanāgata, saṅkhāragata 1, saññāgata 2, sammaggata 1, sammaggata 2, sahagata, heṭṭhāgata	
gatika	adj	last	kammadhāraya > bahubbīhi	ekagatika	
gadhita	any	last	tatiyā tappurisa		
gandha	any	last	chaṭṭhī tappurisa	anirāmagandha, avītagandha, ekagandha, kasāvagandha, dibbagandha, nirāmagandha, pūtigandha, mālāgandha, vaṇṇagandha, sabbagandha, savanagandha, sucigandha, surabhigandha	
gama	adj	last	dutiyā tappurisa	aghasigama, adhogama, dvidugama	going
gamika	adj	last	dutiyā tappurisa > bahubbīhi	āgantukagamika	
gamika	masc	last	dutiyā tappurisa	āgantukagamika, gilānagilānupaṭṭhākaāgantukagamika	
gambhīra	any	first	kammadhāraya	gambhīragata	
gāthā	fem	last	chaṭṭhī tappurisa	anacchariyagāthā, gītagāthā, catuppadikagāthā, paccekagāthā, suddhikagāthā	
gāmaṇi	masc	last	chaṭṭhī tappurisa	duṭṭhagāmaṇi	
gārava	any	last	sattamī tappurisa	adhammagārava, tibbagārava	
gāravatā	any	last	sattamī tappurisa		
gū	any	last	dutiyā tappurisa	avedagū	
gū	any	last	dutiyā tappurisa	avedagū	
gotta	nt	last	kammadhāraya		
gopaka	any	last	chaṭṭhī tappurisa	indagopaka	
ghara	masc	last	chaṭṭhī tappurisa		
cakkha	nt	last	chaṭṭhī tappurisa		
catu	any	first	digu		
catuttha	any	first	kammadhāraya		
carima	any	last	kammadhāraya		
carimaka	any	last	kammadhāraya		
citta	adj	last	kammadhāraya > bahubbīhi		
citta	any	first	kammadhāraya	cittakata 1.1, cittakāra, cittakāraka, cittakilamatha, cittakelisa, cittakkhepa, cittagelañña, cittanibbāpana, cittanissita, cittanvaya, cittapaṭisaṃvedī, cittaparikkhāratthaṃ, cittapassaddhi, cittapārisuddhi, cittapārisuddhipadhāniyaṅga, cittappakopana, cittappaṭibaddha, cittappaṭisaṃvedī, cittappamaddī, cittappasāda, cittappassaddhi, cittabhāvanā, cittabhāvanānuyogamanuyutta, cittamohanī, cittasaṅkilesa, cittasaṅkhārapaṭisaṃvedī, cittasamādhi, cittasamādhipadhānasaṅkhārasamannāgata, cittasamādhippadhānasaṅkhārasamannāgata, cittasamuṭṭhānikādivasena, cittasaṃkilesa, cittasukha, cittavāra, cittavipatti, cittavisuddhattha, cittavisuddhi, cittavuḍḍhikara, cittavūpakāsa, cittavūpasama, cittavodāna, cittahetu, cittāgāra, cittānupassanā, cittānupassī, cittānurakkhī, cittālaṅkāra, cittālaṅkāracittaparikkhāratthaṃ, cittupapādapariyāya, cittuppāda, cittekaggatā, cittaṭṭhānasata, cittaja, cittanimitta, cittahetū, cittadomanassa	
cuta	any	last	pañcamī tappurisa		
cūḷa	any	first	kammadhāraya	cūḷagopālakasutta, cūḷagosiṅgasutta, cūḷataṇhāsaṅkhayasutta, cūḷadukkhakkhandhasutta, cūḷasaccakasutta, cūḷasāropamasutta, cūḷasīhanādasutta	
cha	any	first	digu		
chanda	adj	last	kammadhāraya > bahubbīhi		
chanda	masc	last	sattamī tappurisa	itthicchanda, purisacchanda	
chaḷ	adj	first	digu > bahubbīhi		
chaḷ	noun	first	digu	chajja, chabbisodhanasutta	
chaḷ	ordin	first	dvanda		
chāpaka	any	last	chaṭṭhī tappurisa		
chedana	any	last	chaṭṭhī tappurisa		
ja	adj	last	pañcamī tappurisa | sattamī tappurisa	akammaja, anutuja, ekaja, tatthaja, dvija 1, pubbaja, sahaja 1	
jappana	noun	last	catutthī tappurisa		
