initial	final	correct	wrong	not_in_constr	not_in_lemma	exceptions
ṃ + e	me	ṃe > me	ṃ > m	x	x	x
ṃ + o	mo	ṃo > mo	ṃ > m	x	x	x
ṃ + k	ṅk	ṃk > ṅk	ṃ > ṅ	ṃ + kh	x	upasaṅkamitukāma, maṅkuṃ karoti
ṃ + kh	ṅkh	ṃkh > ṅkh	ṃ > ṅ	x	x	x
ṃ + g	ṅg	ṃg > ṅg	ṃ > ṅ	ṃ + gh	x	x
ṃ + gh	ṅgh	ṃgh > ṅgh	ṃ > ṅ	x	x	x
ṃ + c	ñc	ṃc > ñc	ṃ > ñ	ṃ + ch	x	x
ṃ + ch	ñch	ṃch > ñch	ṃ > ñ, ṃc > ñc	x	x	x
ṃ + ch	ñch	ṃch > ñch	ṃc > ñc	x	x	x
ṃ + j	ñj	ṃj > ñj	ṃ > ñ	ṃ + jh	x	x
ṃ + jh	ñjh	ṃjh > ñjh	ṃ > ñ	x	x	x
ṃ + ñ	ññ	ṃñ > ññ	ṃ > ñ	x	x	x
ṃ + ṭ	ṇṭ	ṃṭ > ṇṭ	ṃ > ṇ	ṃ + ṭh	x	x
ṃ + ṭh	ṇṭh	ṃṭh > ṇṭh	ṃ > ṇ	x	x	x
ṃ + ṭh	nth	ṃṭh > nth	ṃṭ > nt	x	x	x
ṃ + ḍ	ṇḍ	ṃḍ > ṇḍ	ṃ > ṇ	ṃ + ḍh	x	x
ṃ + ḍh	ṇḍh	ṃḍh > ṇḍh	ṃ > ṇ	x	x	x
ṃ + t	nt	ṃt > nt	ṃ > n	ṃ + th	x	x
ṃ + th	nth	ṃth > nth	ṃ > n	x	x	x
ṃ + d	nd	ṃd > nd	ṃ > n	ṃ + dh	x	khandhādisa
ṃ + dh	ndh	ṃdh > ndh	ṃ > n	x	x	x
ṃ + n	nn	ṃn > nn	ṃ > n	x	x	x
ṃ + p	mp	ṃp > mp	ṃ > m	ṃ + ph	x	x
ṃ + p	pp	ṃp > pp	ṃ > p	ṃ + ph	x	x
ṃ + ph	pph	ṃph > pph	ṃ > p	x	x	x
ṃ + ph	mph	ṃph > mph	ṃ > m	x	x	x
ṃ + b	mb	ṃb > mb	ṃ > m	ṃ + bh	x	x
ṃ + bh	mbh	ṃbh > mbh	ṃ > m	x	x	x
ṃ + m	mm	ṃm > mm	ṃ > m	x	x	x
ṃ + y	ññ	ṃy > ññ	x	x	x	x
ṃ + l	ll	ṃl > ll	ṃ > l	x	x	x
ṃs + t	st	ṃst > st	x	x	x	x
ṃs + t	ṭṭh	ṃst > ṭṭh	st > ṭṭh	x	x	x
