chA	chB	ch1	ch2	eg	for
ṭ	u	ṭa	u	sakaṭ'uttaraṇabhatīti	general
n	ī	ni	a	idānī'si	general
l	ā	le	ā	phal'āsāva	general
t	u	tuṃ	a	kātu'yye	general
r	e	re	a	ekāgāre'haṃ	general
j	i	ji	a	nikūji'haṃ	general
s	e	si	e	karissas'eko	general
t	ā	to	ā	tat'āgacchi	general
j	a	jiṃ	a	bhuñj'ahaṃ	general
s	i	si	a	namassi'haṃ	general
t	u	tu	u	māt'upacāranāmena	general
v	ā	vī	ā	pathav'āpaggisamāno	general
d	e	de	a	pāsāde'bhiramanti	general
d	a	di	a	nisīd'ambavane	general
y	o	ya	u	dassanāy'opasaṅkama	general
h	o	hu	o	bah'odake	general
m	a	ma	e	mama'sā	general
p	p	p		tappaṭibaddhasaṃkilesa'p'pahānavasena	general
ṭ	ū	ṭa	u	vivaṭṭ'ūpanissitaṃ	general
ñ	e	ñe	a	maññe'haṃ	general
s	o	sā	o	dis'okāsā	general
ṇ	ī	ṇi	i	rathassāṇī'va	general
t	u	tuṃ		vitthāretu'kamyatā	general
c	c	c		vana'c'chāyappavesana	general
ḍ	e	ḍo	e	caṇḍ'ettha	general
ḷ	o	ḷa	u	guḷ'odaka	general
h	a	hiṃ	a	paṭivijjh'ahanti	general
s	ā	so	a	es'āvahiyyase	general
h	a	hā	a	yath'aññe	general
ñ	ñ	ṃ	aññ	tesañ'ñataroyamāyuvā	general
