variant	main
sammanitabbo	sammannitabbo
svāsīsado	svāsīdo
saṇṭharituṃ	sandharituṃ
nisāraṇīyaṃ	nissāraṇīyaṃ
piṭṭhikaṇḍakaṭṭhikaṃ	piṭṭhikaṇḍakaṃ
paṭisandhāragāravatā	paṭisanthāragāravatā
mahāturiya	mahātūriya
bruhantaṃ	brahantaṃ
ajjhattupasamāhito	ajjhattaṃ susamāhito
pettayyo	petteyyo
kālagataṃ	kālābhataṃ
moliyasīvako	moḷiyasīvako
moḷisīvako	moḷiyasīvako
nicchādeti	nipphoṭeti
kuddarājāno	kuḍḍarājāno, khuddarājāno
atīradassaniyā	atīradakkhiṇiyā
kāmasaṃyojanātitā	kāmasaṃyojanātigā
āpātaṃ	āpāthaṃ
vimutañca	vippamuttaṃ
pheggunassa	phaggunassa
siriṃsapasamphassānaṃ	ḍaṃsamakasavātātapasarīsapasamphassānaṃ
rattipaccūsasamaye	rattiyā paccūsasamayaṃ
vohārapakkāhaṃ	vohāravepakkaṃ
abhimaṭṭheyya	abhimattheyya
anantariyakammaṃ	ānantariyakammaṃ
anavatthi	anavatthita
santharituṃ	sandharitun
santharitunti	sandharitunti
chaṭṭitaṃ	chaḍḍitaṃ
ugghānitāpi	ugghātitāpi
vīriyārabbhe	vīriyārambhe
saṃghattherā	saṅghe therā
aparihānīye	aparihāniye
kaṇhasukkasappatibhāgesu	kaṇhasukkasappaṭibhāgesu
ādātukāmo	ādhātukāmo
anusaṇṭhāti	anusandahati
patibandhacitto	patibaddhacitto
cittuppādamattampi	cittuppādampi
aticārittaṃ	aticaritā
parinibbāṇaṃ	parinibbānaṃ
kallavālamuttagāme	kallavāḷaputtagāme
manasikāsi	manasākāsi
paniñjitvā	anumajjitvā
puthabyo	pathabyo
āyasakkhaṃ	āyasakyaṃ
sadasseti	padasseti
gopphakapadesesu	gopadesu
suparikkhittaṃ	suparikkhataṃ
gambhīranemi	gambhīranemā
kosakajāto	korakajāto
aṅgulapadāni	aṅgulipadāni
aṅgulapadaṃ	aṅgulipadaṃ
vettabandhāya	vettabandhanabaddhāya
udakapupphuḷaṃ	udakabubbuḷaṃ
tharati	āvattati
sottiko	sottiyo
sotthiko	sottiyo
nahātatto	nhātattā
nissuttattā	nissutattā
anabhibhūyya	anabhibhuyya
abhibhūyya	abhibhuyya
vessavaṇṇo	vessavaṇo
voparaputto	paraputto
phusayamānassa	phuṇamānassa
punamānassa	phuṇamānassa
abhinibbijjayetha	abhinibbajjayātha
karaṇḍavaṃ	kāraṇḍavaṃ
mukhāṭhānaṃ	mukhādhānaṃ
byādhati	byathati
uggahavādinaṃ	uggavādiniṃ
uggatavādiniṃ	uggavādiniṃ
timiramiṅgalā	timitimiṅgalā
cirantaṃ	cirattaṃ
kādali	kadali
sañjāyantamhi	sampādayantamhi
samaṇakaraṇḍavoti	samaṇakāraṇḍavoti
subandhā	subaddhā
gandhamādhare	gandhamācare
kāsāyavatthanivasanāya	kāsāyavatthavasanāya
samajīvikatā	samajīvitā
ajeṭṭhamaraṇaṃvāyaṃ	ajaddhumārikaṃ vāyaṃ
addhamārakaṃ	ajaddhumārikaṃ
atthūpavarikkhī	atthūpaparikkhitā
ajeṭṭhamaraṇaṃ	ajaddhumārikaṃ
apacittiṃ	acittīkatvā
dukūlasandhanāni	dukūlasandanāni
dukūlasandassanāni	dukūlasandanāni
dukūlasaṇṭhanāni	dukūlasandanāni
dukūlasanthanāni	dukūlasandanāni
gandhohanamattampi	gaddūhanamattampi
gandhūhanamattampi	gaddūhanamattampi
saṃsāreti	saṃsādeti
āmissasaññā	kāmasaññā
jaṭilagāhiyā	jaṭilavāsikā
jaḍilabhāgikā	jaṭilavāsikā
sasaṅkhāraniggayhavārivāvaṭo	sasaṅkhāraniggayhavāritagato
tālacchātiṃ	tālacchāyaṃ
tālacchādiṃ	tālacchāyaṃ
apayaṃsveva	apayiṃsuyeva
cetokhīlā	cetokhilā
sampayojayeti	sampayojayati
kūṭarājāno	khuddarājāno
gulaghare	kuraraghare
ābhassaravattanikā	ābhassarasaṃvattanikā
piyakarāṇā	piyakaraṇā
garukarāṇā	garukaraṇā
pulavaka	puḷuvaka
galagalāyante	gaḷagaḷāyante
kusombhe	kusobbhe
mahāsombhe	mahāsobbhe
paraṃpurāya	parapurāya
mātugāmūpavicaro	mātugāmopavicāro
andhakapaññā	ammakapaññā
nerasiko	necayiko
visinaṃ	vicinaṃ
paṭisandhārako	paṭisanthārako
tuduppaccekabrahmā	turū paccekabrahmā
niyyāssati	nīyati
niyyaṃssati	nīyati
kvattha	kvettha
abhikkantapaṭikkanto	abhikkantapaṭikkante
piṅgulikaṃ	ciṅgulakaṃ
ciṅkulakaṃ	ciṅgulakaṃ
jānussoṇi	jāṇussoṇi
