kenacideva	kenaci + eva
yopassa	yo + api + assa
sammukhāmetaṃ	sammukhā + me + etaṃ
panassāhaṃ	pana + ssu + ahaṃ
pabbatātappaṃ	pabbata + ātappaṃ
mayamassu	mayaṃ + assu
vatāyasmā	vata + āyasmā
iccāyaṃ	iti + ayaṃ
iccāyampi	iti + ayaṃ + api
iccāyante	iti + ayaṃ + te
subhanimittantissa	subhanimittaṃ + iti + assa
asubhanimittantissa	asubhanimittaṃ + iti + assa
tathāhāyaṃ	tathā + hi + ayaṃ
aṭṭhaṅgikamāhuposathaṃ	aṭṭhaṅgikaṃ + āhu + uposathaṃ
tassajja	tassa + ajja
osīdatimeva	osīdati + eva
saṃsīdatimeva	saṃsīdati + eva
sandhiyatimeva	sandhiyati + eva
saṃsandatimeva	saṃsandati + eva
sammodatimeva	sammodati + eva
adinnamicchā	adinnaṃ + icchā
pahānakkhayabbayena	pahāna + khaya + vayena
paṭighanimittantissa	paṭighanimittaṃ + iti + assa
manasikārotissa	manasikāro + iti + assa
cetovimuttītissa	cetovimutti + iti + assa
yonisomanasikārotissa	yonisomanasikāro + iti + assa
soyaṃ	so + ayaṃ
yathariva	yathā + eva
yatharivāhaṃ	yathā + eva + ahaṃ
yatharivāyaṃ	yathā + eva + ayaṃ
kathāhaṃ	kathaṃ + ahaṃ
midhekaccassa	idha + ekaccassa
temaṃ	te + imaṃ
yampāyaṃ	yaṃ + api + ayaṃ
vāyāmañca	vāyāmaṃ + ca
nāpissa	na + api + assa
yamenaṃ	yaṃ + enaṃ
attantāpo	attaṃ + tāpo
asasmīti	asa + asmi + iti
yyāssa	ye + assa
yaṃnissitā	yaṃ + nissitā
saṅkhasaddotveva	saṅkhasaddo + iti + eva
bherisaddotveva	bherisaddo + iti + eva
yampāyaṃ	yaṃ + api + ayaṃ
sukhañcetaṃdhivattatīti	sukhaṃ + ca + etaṃ + adhivattati + iti
taṇhāyogena	taṇhā + yogena
cayime	ca + ime
idamassāhaṃ	idaṃ + assa + ahaṃ
sīhassevitaremigā	sīhassa + eva + itare + migā
nājeḷakā	na + ajeḷakā
passāmissānubhāvanti	passāmi + assa + ānubhāvaṃ + iti
snehānvayamivosadhāti	snehānvayaṃ + iva + osadhā + iti
