index	chA	chB	ch1	ch2	eg	weight
308	n	ī	ni	a	idānī'si	3
309	ṇ	ī	ṇī	a	sikharaṇī'si	3
310	ṇ	i	ṇi	a	tīṇi'ssa	3
311	n	ī	nī	a	utunīmhi	3
312	n	ī	nī	i	añjanīva	3
313	n	i	ni	i	idān'ime	3
314	ṇ	ī	ṇi	i	rathassāṇī'va	3
315	n	ī	ni	i	sāmīcikammānīti	3
316	ṇ	i	ṇi	i	tīṇindriyāni	3
317	ñ	j	ṃ	j	dhanañjānī	3
318	ṅ	k	ṃ	k	khemaṅkarassa	3
319	n	n		n	kacci'n'nu	4
320	ñ	ñ		ñ	pubbāpara'ñ'ñū	4
321	ñ	ñ	ṃ		taññ'eva	3
322	ñ	ñ	ṃ	aññ	tesañ'ñataroyamāyuvā	3
323	n	n	ṃ	n	kinnu	3
324	ñ	ñ	ṃ	y	yaññadeva	3
325	n	o	na	o	paññāsayojanokāse	3
326	ṇ	o	ṇa	u	dakkhiṇodakaṃ	3
327	n	o	na	u	supin'occārapassāvo	3
328	n	o	nī	o	bhikkhun'ovādavaggo	3
329	ñ	o	ño	a	katapuñño'si	3
330	ṇ	o	ṇo	a	otiṇṇomhi	3
331	n	o	no	a	sayānomhi	3
332	n	o	no	i	jhānoti	3
333	n	o	nu	i	āyasmānoti	3
334	n	t	ṃ	it	neyyanti	3
335	n	t	ṃ	t	idantaṃ	3
336	n	t	n	it	khīṇan'teva	3
337	n	u		u	vehāsā'n'upasaṅkamiṃ	4
338	ṇ	u	ṇa	u	gaṇaṅgaṇupāhanā	3
339	n	u	na	u	iddhibalenupatthaddho	3
340	ñ	ū	ñā	u	saññ'ūpāyaṃ	3
341	n	u	nā	u	sen'uyyodhikaṃ	3
342	n	ū	na	u	udakādhān'ūpamāyo	3
343	n	ū	nā	u	vedanūpāyaṃ	3
344	ṇ	ū	ṇa	u	veṇūpamena	3
345	ñ	ū	ñū	a	akataññū'si	3
346	n	u	nu	a	nujja	3
347	n	u	nu	e	nuttha	3
348	n	u	nu	i	nanume	3
349	o	p	o	ap	tissopi	3
350	o	t	o	it	pahātabboti	3
351	o	v	o	ev	esovetassa	3
352	o	v	o	iv	kukkurova	3
353	o	y	o		etaparamo'y'eva	4
354	p	a	api	a	mayhaṃpatthi	3
355	p	ā	api	ā	yampāvuso	3
356	p	ā	pa	a	appādhikaraṇaṃ	3
357	p	ā	pā	a	japp'ābhilepanaṃ	3
358	p	ā	pa	ā	kassapādi	2
359	p	a	pa	a	sūp'atthāya	4
360	p	ā	pi	a	apāhaṃ	3
361	p	ā	pi	ā	apāvuso	3
362	p	a	pi	a	etampahaṃ	3
363	p	ā	po	a	abhisāp'āyaṃ	3
364	p	ā	po	ā	āp'ādīsupi	3
365	p	e	api	e	brahmunāpesā	3
366	p	e	pe	a	parikappe'nudhāvitā	3
367	p	e	pe	i	antodīpe'va	3
368	p	e	pi	e	apetthekacco	3
369	p	i	ap	i	pidhekacce	3
370	p	i	api	a	evampissa	3
371	p	i	api	i	pidhekacce	3
372	p	i	pi	a	khattiyopi'ssāssāti	3
373	p	ī	pi	i	kap'īva	3
374	p	i	pi	i	sabbepime	3
375	p	o	po	a	abhisāpoyaṃ	3
376	p	p		p	na'p'patirūpaṃ	4
377	p	p	d	p	tappaṭibhāgaṃ	3
378	p	p	p		tappaṭibaddhasaṃkilesa'p'pahānavasena	4
379	p	p	pi		app'eva	4
380	p	u	pi	u	yampudāyi	3
381	r	ā		ā	puna'r'āvattanadhammoyeva	4
382	r	ā	rā	ā	accasarāvuso	3
383	r	ā	ra	ā	saṃvarāpajjanā	3
384	r	a	ra	a	saṅkār'aggi	4
385	r	ā	rā	a	satthār'ānuggahito	3
386	r	ā	ra	a	tatrāssudaṃ	3
387	r	ā	ri	ā	accasar'āvuso	3
388	r	ā	ri	a	cattār'āhaṃ	3
389	r	ā	ro	a	anuttar'āyaṃ	3
390	r	e		e	vutti'r'esā	4
391	r	e	ra	e	tatrekassa	3
392	r	e	re	a	ekāgāre'haṃ	3
393	r	e	re	i	āṇidvāre'va	3
394	r	i		i	āraggeriva	4
395	r	i	ra	i	tatrime	3
396	r	i	ri	a	kaṇhasiri'vhayo	3
